seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
564,5535,92830,51950,0,17.23061466217041
565,5507,92858,51936,0,17.203572988510132
566,5531,92834,51948,0,20.086642026901245
567,5531,92834,51948,0,17.1981520652771
568,5539,92826,51952,0,17.252963542938232
569,5531,92834,51948,0,17.378020763397217
570,5535,92830,51950,0,20.148502111434937
571,5533,92832,51949,0,17.414878368377686
572,5531,92834,51948,0,17.046372652053833
573,5529,92836,51947,0,16.9722638130188
574,5555,92810,51960,0,17.243882656097412
575,5533,92832,51949,0,20.122642278671265
576,5517,92848,51941,0,17.041259288787842
577,5529,92836,51947,0,16.88957977294922
578,5543,92822,51954,0,17.42818832397461
579,5525,92840,51945,0,20.14847707748413
580,5547,92818,51956,0,16.85087752342224
581,5517,92848,51941,0,16.86091160774231
582,5539,92826,51952,0,17.238914728164673
583,5539,92826,51952,0,20.104395627975464
584,5519,92846,51942,0,17.092094659805298
585,5535,92830,51950,0,17.114906311035156
586,5531,92834,51948,0,17.328045129776
587,5519,92846,51942,0,17.06298828125
588,5533,92832,51949,0,19.944348573684692
589,5523,92842,51944,0,17.28205943107605
590,5529,92836,51947,0,17.21364688873291
591,5531,92834,51948,0,16.79738688468933
592,5535,92830,51950,0,17.15552306175232
593,5533,92832,51949,0,20.123159646987915
594,5533,92832,51949,0,17.188840627670288
595,5531,92834,51948,0,17.167529344558716
596,5521,92844,51943,0,17.07599115371704
597,5531,92834,51948,0,20.22478485107422
598,5545,92820,51955,0,17.24233078956604
599,5537,92828,51951,0,17.075230836868286
600,5535,92830,51950,0,17.152895212173462
601,5531,92834,51948,0,17.461474657058716
602,5533,92832,51949,0,20.291149139404297
603,5535,92830,51950,0,17.39303731918335
604,5505,92860,51935,0,17.027479887008667
605,5519,92846,51942,0,17.004266262054443
606,5529,92836,51947,0,20.24142837524414
607,5539,92826,51952,0,17.491944789886475
608,5525,92840,51945,0,17.17787790298462
